Name;Question;Description;Default;Validity;Visibility;Constraint
Screw;Will the Product Screw will be used?;Screw description;;;Screw &  - Screw;( - Screw ~ Screw) & (Screw ~ Ring1) & (Screw ~ Jack1)
ScrewScrew;Do you want to install ScrewScrew?;ScrewScrew description;;;Screw & Pipe & Jack1 & Ring1 & InsertScrew & PressJack1 & PressRing1;
WeldBarrel;Do you want to install WeldBarrel?;WeldBarrel description;;;WeldBarrel &  - WeldBarrel;
WeldBarrel1_1;Do you want to install WeldBarrel1_1?;WeldBarrel1_1 description;;;Barrel1_1 & PressBarrel1_1;(WeldBarrel1_1 ~ WeldBarrel)
WeldBarrel1_2;Do you want to install WeldBarrel1_2?;WeldBarrel1_2 description;;;Barrel1_2 & PressBarrel1_2;(WeldBarrel1_2 ~ WeldBarrel)
WeldFork3;Do you want to install WeldFork3?;WeldFork3 description;;;Fork3 & Pipe & Fork5 & InsertFork3 & WeldFork5;
WeldFork4;Do you want to install WeldFork4?;WeldFork4 description;;;Fork4 & Pipe & Fork5 & InsertFork4 & WeldFork5;
WeldFork5;Do you want to install WeldFork5?;WeldFork5 description;;;Fork5 & Pipe & InsertFork5 & InsertPipe;
WeldJack1;Do you want to install WeldJack1?;WeldJack1 description;;;Jack1 & Pipe & PressJack1 & InsertPipe;
WeldLock;Do you want to install WeldLock?;WeldLock description;;;WeldLock &  - WeldLock;
WeldLock1;Do you want to install WeldLock1?;WeldLock1 description;;;Lock1 & InsertLock1 & WeldFork3 & WeldFork4 &  - WeldLock2 &  - WeldLock3;(WeldLock1 ~ WeldLock) & (WeldLock1 ~  - WeldLock2) & (WeldLock1 ~  - WeldLock3)
WeldLock2;Do you want to install WeldLock2?;WeldLock2 description;;;Lock2 & InsertLock2 & WeldFork3 & WeldFork4 &  - WeldLock1 &  - WeldLock3;(WeldLock2 ~  - WeldLock1) & (WeldLock2 ~ WeldLock) & (WeldLock2 ~  - WeldLock3)
WeldLock3;Do you want to install WeldLock3?;WeldLock3 description;;;Lock3 & InsertLock3 & WeldFork3 & WeldFork4 &  - WeldLock1 &  - WeldLock2;(WeldLock3 ~ WeldLock) & (WeldLock3 ~  - WeldLock2) & (WeldLock3 ~  - WeldLock1)
